precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP MARIUS-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BANDULA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
5,BIHOR,"ȘCOALA CU CLASELE I- IV, BOIANU-MARE",249,"BOIANU MARE",27506,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:32",446,431,0,3,12,311,296,0,3,12,302,9,487,176,154,148
5,BIHOR,"ȘCOALA CU CLASELE I- VIII ” ÎNVĂȚĂTOR GÂLGĂU IOSIF” PĂGAIA",250,"BOIANU MARE",27506,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:44",523,507,0,2,14,359,343,0,2,14,348,11,544,185,144,204
