precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOCANEA LIVIU-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPA TRAIAN ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PUŞCAŞ HORIA-CĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:26",245,230,0,4,11,173,158,0,4,11,169,4,250,77,6,94,69
1,ALBA,"ȘCOALA GIMNAZIALĂ „TIMOTEI OVIDIU TARNU” STREMȚ",398,STREMŢ,7767,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:58",1198,1152,2,12,32,863,817,2,12,32,804,12,1272,456,41,337,426
1,ALBA,"ȘCOALA GIMNAZIALĂ „VASILE BOLOGA” GEOAGIU DE SUS",399,STREMŢ,7767,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:12",652,627,1,8,16,433,408,1,8,16,425,8,690,257,50,168,207
