precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CATANĂ VALERIU-PARTIDUL S.O.S. ROMÂNIA-voturi","IVAN TUDOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","FODOLICĂ GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CABALORTĂ DAN-CORNEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BOUROŞ MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
41,VRANCEA,"ȘCOALA I-IV NOUĂ",123,CÂMPINEANCA,174780,2,PART,PRCNCT,P,P_SV,"2024-06-12 18:24:19",578,553,1,22,2,328,304,0,22,2,315,13,613,285,5,202,80,16,12
41,VRANCEA,"ȘCOALA I-IV NOUĂ",121,CÂMPINEANCA,174780,3,PART,PRCNCT,P,P_SV,"2024-06-12 17:49:42",1740,1708,1,19,12,987,956,0,19,12,965,22,1877,890,24,581,220,110,30
41,VRANCEA,"ȘCOALA I-IV NOUĂ",122,CÂMPINEANCA,174780,4,PART,PRCNCT,P,P_SV,"2024-06-12 16:42:52",1628,1598,2,22,6,885,857,0,22,6,849,36,1759,874,27,486,234,77,25
