precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICA IONUŢ-CORNEL-PARTIDUL NAȚIONAL LIBERAL-voturi","DOBRE COSMIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DRUGĂ ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","IACOV TĂNASE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMINUL CULTURAL BREAZA",171,BREAZA,45619,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:17",762,754,3,3,2,420,415,0,3,2,411,9,830,410,96,30,265,20
10,BUZĂU,"CĂMINUL CULTURAL VISPEȘTI",173,BREAZA,45619,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:09",542,541,0,0,1,277,276,0,0,1,265,12,589,312,68,25,156,16
10,BUZĂU,"ŞCOALA GENERALĂ GRECEANCA",172,BREAZA,45619,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:21",743,730,0,3,10,367,354,0,3,10,351,16,820,453,58,12,254,27
