precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"ŞCOALA GIMNAZIALA CÎMPURI",125,CÂMPURI,175670,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 17:03:58",855,823,1,6,25,454,422,1,6,25,434,20,931,477,17,133,21,263
41,VRANCEA,"SCOALA GIMNAZIALA ROTILESTII MICI",127,CÂMPURI,175670,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:58",521,493,0,7,21,307,279,0,7,21,291,16,568,261,8,162,9,112
41,VRANCEA,"SCOALA PRIMARA CÎMPURI",124,CÂMPURI,175670,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:31:46",786,755,1,4,26,487,457,1,4,25,464,23,859,372,75,141,16,232
41,VRANCEA,"SCOALA PRIMARA FETESTI",126,CÂMPURI,175670,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:20",738,719,1,7,11,353,335,0,7,11,328,25,804,451,19,86,8,215
