precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFĂNESCU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NICULA GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","TENCIUC MARIA-ROXANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 CIOROGÂRLA",184,CIOROGÂRLA,101957,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:13",1957,1908,4,35,10,1197,1152,0,35,10,1175,22,2200,1003,56,624,495
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 1 CIOROGÂRLA",183,CIOROGÂRLA,101957,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:15",1580,1473,53,43,11,982,939,0,43,0,976,6,1600,618,34,604,338
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 2 DÂRVARI",185,CIOROGÂRLA,101957,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:14",1860,1835,1,17,7,1166,1142,0,17,7,1117,49,2054,888,32,529,556
