precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","KNALL FLORIN-voturi"
34,SIBIU,"CĂMINUL CULTURAL BRATEIU",252,BRATEIU,144349,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:00:40",1177,1168,6,0,3,632,628,1,0,3,595,37,1280,648,72,329,59,106,29
34,SIBIU,"ŞCOALA GIMNAZIALĂ BRATEIU",253,BRATEIU,144349,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:10",869,858,2,2,7,421,412,0,2,7,372,49,950,529,55,201,60,35,21
34,SIBIU,"ŞCOALA GIMNAZIALĂ BUZD",254,BRATEIU,144349,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:16:45",1017,1014,0,3,0,512,509,0,3,0,478,34,1116,600,68,288,68,47,7
