precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
28,MUREŞ,"CASA ”APOLLO” (ŞCOALA DE ARTE)",1,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:08:50",1457,1293,148,14,2,542,526,0,14,2,533,9,1487,945,23,262,93,62,42,7,39,5
28,MUREŞ,"CENTRUL CULTURAL ”MIHAI EMINESCU”",31,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:38:08",916,747,118,21,30,462,411,0,21,30,436,14,980,530,22,220,69,58,31,4,29,3
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",57,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:02",1458,1427,5,11,15,805,779,0,11,15,779,26,1590,785,47,376,169,103,42,13,23,6
28,MUREŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ NR.1",58,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:05:20",1483,1453,3,8,19,607,580,0,8,19,525,82,1620,1013,84,169,200,44,8,1,16,3
28,MUREŞ,"COLEGIUL AGRICOL ”TRAIAN SAVULESCU”",13,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:44",1494,1457,12,14,11,784,758,1,14,11,759,25,1630,846,51,342,183,68,46,14,52,3
28,MUREŞ,"COLEGIUL NAŢIONAL ”UNIREA”",32,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:23:37",1662,1585,58,16,3,914,894,1,16,3,901,9,1770,860,64,429,108,153,76,16,49,6
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A. DANDEA”",85,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:36:53",970,963,1,6,0,381,375,0,6,0,369,12,1080,699,48,85,111,52,28,3,41,1
28,MUREŞ,"FOSTUL LICEU TEHNOLOGIC ”EMIL A.DANDEA”",84,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:41:06",1268,1258,2,7,1,555,547,0,7,1,500,55,1400,845,60,181,141,49,27,4,37,1
28,MUREŞ,"GRĂDINIŢA CU PROG.PREL.”RÂNDUNICA”",77,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:03:08",1593,1582,0,11,0,760,749,0,11,0,734,24,1760,1000,50,366,163,75,26,6,41,7
28,MUREŞ,"GRĂDINIŢA CU PROGR.PREL.”CODRIŞOR”",52,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:50:00",1490,1481,0,9,0,800,791,0,9,0,775,25,1650,850,76,240,202,112,60,4,75,6
28,MUREŞ,"GRĂDINIȚA P.P. ”RAZĂ DE SOARE”",21,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:03:40",1193,1147,30,9,7,555,538,1,9,7,549,6,1290,735,16,307,78,45,31,15,51,6
28,MUREŞ,"GRĂDINIȚA P.P. ”RAZĂ DE SOARE”",22,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:07:13",1174,1156,4,9,5,639,625,0,9,5,624,13,1329,692,33,311,120,59,40,17,40,4
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”ALBINUŢA”",65,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:26",1262,1247,1,13,1,644,630,0,13,1,630,14,1390,746,52,272,148,56,37,12,48,5
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”LICURICI”",71,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:30:15",1194,1171,2,14,7,694,673,0,14,7,680,14,1310,616,23,356,118,72,46,6,49,10
28,MUREŞ,"GRĂDINIŢA PROG.PREL.”LICURICI”",70,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:01",1404,1392,1,6,5,797,786,0,6,5,778,19,1551,754,50,428,150,67,37,10,29,7
28,MUREŞ,"GRĂDINIŢA PROGR.PREL.NR.6",25,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:28",1278,1168,102,7,1,636,627,1,7,1,629,7,1320,684,58,243,101,110,47,6,56,8
28,MUREŞ,"INTERNAT LICEUL TEHNOLOGIC ”AVRAM IANCU”",4,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:03:18",1313,1257,33,11,12,635,612,0,11,12,620,15,1410,775,33,340,116,47,36,14,32,2
28,MUREŞ,"LICEUL CU PROGRAM SPORTIV ”SZASZ ADALBERT”",23,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:53",1649,1508,60,13,68,808,724,3,13,68,769,39,1690,882,58,448,95,81,40,13,29,5
28,MUREŞ,"LICEUL TEHNOLOGIC ”AUREL PERȘU”",11,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:56",1183,1167,4,8,4,671,659,0,8,4,656,15,1330,659,72,223,161,102,39,2,55,2
28,MUREŞ,"LICEUL TEHNOLOGIC ”AUREL PERȘU”",10,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:06",1178,1175,0,3,0,495,492,0,3,0,474,21,1320,825,92,115,141,49,36,3,36,2
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",63,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:58:49",1473,1460,0,5,8,806,795,0,5,6,793,13,1650,844,52,427,128,77,37,18,49,5
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",64,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:10",1316,1290,9,15,2,629,611,1,15,2,614,15,1459,830,52,291,112,66,45,6,41,1
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",62,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:02",1267,1222,28,15,2,663,646,0,15,2,650,13,1380,717,34,352,70,71,45,20,50,8
28,MUREŞ,"LICEUL TEHNOLOGIC ”C-TIN BRÂNCUŞI”",26,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:16:41",1371,1256,78,27,10,760,723,0,27,10,723,12,1430,658,117,387,79,37,55,5,40,3
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",40,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:47",1549,1528,6,12,3,824,809,0,12,3,813,11,1710,886,77,264,239,145,41,3,44,0
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",39,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:31:44",1974,1899,55,17,3,1075,1052,3,17,3,1070,5,2120,1045,105,284,259,202,109,3,100,8
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",41,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:14:18",1445,1379,9,11,46,875,818,0,11,46,804,11,1542,727,66,279,235,95,51,9,66,3
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",42,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:33",1403,1386,4,11,2,766,753,0,11,2,752,14,1580,814,58,249,230,101,47,3,58,6
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",73,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:49",1345,1331,1,8,5,761,748,0,8,5,751,10,1480,719,58,391,167,72,15,9,39,0
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",74,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:52",1448,1430,1,11,6,778,761,0,11,6,754,24,1600,822,54,426,143,59,29,11,27,5
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",72,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:12",1477,1457,4,14,2,778,761,1,14,2,761,17,1620,842,45,419,120,68,63,6,36,4
28,MUREŞ,"LICEUL TEHNOLOGIC ”ION VLASIU”",30,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:17:34",1355,1287,0,40,28,712,644,0,40,28,705,7,1530,818,59,326,131,94,49,9,34,3
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",82,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:54",1413,1397,6,8,2,600,588,2,8,2,580,20,1570,970,71,190,181,75,22,13,27,1
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",83,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:33",1407,1398,3,5,1,728,722,0,5,1,704,24,1570,842,77,207,195,117,40,9,56,3
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",81,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:13",1511,1503,2,6,0,725,719,0,6,0,703,22,1700,975,89,205,207,88,39,4,68,3
28,MUREŞ,"LICEUL TEORETIC ”BOLYAI FARKAS”",29,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:21:24",1431,1164,242,21,4,570,544,1,21,4,548,14,1310,748,44,284,73,72,33,4,38,0
28,MUREŞ,"LICEUL TEORETIC ”BOLYAI FARKAS”,",3,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:31:16",1385,1287,55,14,29,776,733,1,13,29,766,10,1440,660,48,437,75,70,61,22,50,3
28,MUREŞ,"LICEUL VOCAŢIONAL ”M. EMINESCU”",33,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:03",1542,1512,12,6,12,783,765,0,6,12,775,8,1700,917,48,349,175,105,32,4,57,5
28,MUREŞ,"LIEUL TEORETIC ”BOLYAI FARKAS”",28,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:39:00",1064,952,96,13,3,428,412,0,13,3,419,9,1080,652,41,187,85,39,23,8,34,2
28,MUREŞ,"PRIMĂRIA MUNICIPIULUI TG.MUREŞ",12,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:11:37",1341,1297,23,15,6,697,674,2,15,6,683,14,1450,753,48,388,94,56,45,13,35,4
28,MUREŞ,"PUNCT COLECTARE TAXE ŞI IMPOZITE",43,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:45:19",1075,1049,15,10,1,596,585,0,10,1,582,14,1170,574,58,159,144,82,55,7,75,2
28,MUREŞ,"ŞCOALA GEN. NR. 19 BEŞA",20,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:48",843,837,1,5,0,487,482,0,5,0,452,35,998,511,49,218,100,36,10,5,28,6
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",14,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 16:37:40",1855,1834,6,13,2,1030,1015,0,13,2,1011,19,2046,1016,120,225,267,215,71,2,99,12
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",16,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:05",1822,1801,6,13,2,1031,1015,1,13,2,1013,18,2010,979,124,305,253,163,67,9,82,10
