precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIME VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi","TRUFIN LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CILIBIU EUSEBIU-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AMARANDEI DOINA-PARTIDUL S.O.S. ROMÂNIA-voturi","LĂCĂTUŞU-ANDREI CRISTINA-ANETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ANDRUŞ DĂNUŢ-voturi"
7,BOTOŞANI,"CAMINUL CULTURAL MOVILENI",179,CONCEŞTI,36532,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:44",253,245,0,2,6,131,123,0,2,6,117,14,314,183,47,47,9,1,5,8
7,BOTOŞANI,"CAMINUL CULTURAL NEGRENI",380,ŞTIUBIENI,39220,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:10:02",638,611,0,5,22,410,383,0,5,22,375,35,700,290,25,256,50,11,29,4
7,BOTOŞANI,"CĂMINUL CULTURAL ”PROF. IOAN COBÂLĂ ” DRĂGUȘENI",237,DRĂGUŞENI,37173,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:29",1838,1836,0,2,0,586,584,0,2,0,557,29,2000,1414,170,270,44,13,53,7
7,BOTOŞANI,"CAMINUL CULTURAL SANTA MARE",359,"SANTA MARE",38893,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:52:49",967,945,0,10,12,552,530,0,10,12,526,26,1000,448,71,268,112,8,65,2
7,BOTOŞANI,"CAMINUL CULTURAL SAT MIORCANI",344,RĂDĂUŢI-PRUT,38633,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:52:21",665,650,0,0,15,333,318,0,0,15,319,14,700,367,180,87,33,6,6,7
7,BOTOŞANI,"CAMINUL CULTURAL SAT MIORCANI",345,RĂDĂUŢI-PRUT,38633,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:01:45",610,590,0,2,18,301,281,0,2,18,276,25,700,399,169,72,24,4,6,1
7,BOTOŞANI,"CAMINUL CULTURAL SAT REDIU",346,RĂDĂUŢI-PRUT,38633,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:11:50",685,651,0,5,29,342,308,0,5,29,327,15,739,397,180,85,13,13,24,12
7,BOTOŞANI,"CAMINUL CULTURAL STROIESTI",294,LUNCA,37912,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:23",639,616,0,2,21,348,325,0,2,21,324,24,700,352,169,125,15,3,7,5
7,BOTOŞANI,"CĂMINUL CULTURAL VIIŞOARA",412,VIIŞOARA,39658,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:24:21",646,609,1,8,28,421,384,1,8,28,401,20,601,180,64,196,52,14,43,32
7,BOTOŞANI,"CĂMINUL CULTURAL ZLĂTUNOAIA",295,LUNCA,37912,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:45:58",1223,1172,0,7,44,673,622,0,7,44,636,37,1300,627,477,127,15,9,7,1
7,BOTOŞANI,"CASA DE CULTURA ”NICOLAE SEVEREANU”",124,"ORAŞ FLĂMÂNZI",37280,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:26",1135,1128,0,7,0,451,444,0,7,0,435,16,1200,749,320,48,28,14,17,8
7,BOTOŞANI,"CENTRUL CULTURAL BUCECEA",109,"ORAŞ BUCECEA",36453,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:04:07",1618,1611,0,5,2,738,731,0,5,2,695,43,1710,972,236,381,41,12,18,7
7,BOTOŞANI,"CENTRUL CULTURAL CORNI",193,CORNI,36756,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:00",1067,1066,1,0,0,516,516,0,0,0,483,33,1201,685,79,270,55,25,48,6
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ(GRĂDINIȚĂ) SATU NOU",106,"MUNICIPIUL DOROHOI",36006,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:11:04",692,685,0,7,0,332,325,0,7,0,323,9,800,468,157,114,21,16,5,10
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ LOTURI ENESCU",107,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:58",361,354,0,7,0,184,177,0,7,0,176,8,400,216,52,98,18,5,2,1
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",59,"MUNICIPIUL BOTOŞANI",35731,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 01:24:48",1210,1200,0,10,0,537,527,0,10,0,527,10,1299,762,278,163,30,23,18,15
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",57,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:55",931,924,0,7,0,363,356,0,7,0,348,15,1000,637,174,112,32,8,9,13
7,BOTOŞANI,"COLEGIUL ECONOMIC „OCTAV ONICESCU”",58,"MUNICIPIUL BOTOŞANI",35731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:58",1465,1457,2,6,0,745,739,0,6,0,723,22,1600,855,419,190,58,28,18,10
