precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SANDU GHEORGHE-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MÎNDRICAN ELENA-MĂDĂLINA-PARTIDUL NAȚIONAL LIBERAL-voturi","MANDA MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRADINITA CU PROGRAM NORMAL GHERGHIŢEŞTI",176,COBIA,66580,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:34",963,914,0,11,38,695,646,0,11,38,689,6,1008,313,110,39,540
16,DÂMBOVIŢA,"GRĂDINIŢA MISLEA",179,COBIA,66580,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:42",612,592,0,3,17,386,366,0,3,17,377,9,674,288,57,23,297
16,DÂMBOVIŢA,"ŞCOALA FRASIN DEAL",177,COBIA,66580,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:40",551,530,0,7,14,376,355,0,7,14,365,11,580,204,28,41,296
16,DÂMBOVIŢA,"ŞCOALA MĂNĂSTIREA",178,COBIA,66580,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:57",418,392,0,10,16,299,273,0,10,16,266,7,430,157,31,8,227
