precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRĂCIUN STELICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU MIHĂIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA DANIELA-PARTIDUL VOLT ROMANIA-voturi","BUZEA MARIAN-SORIN-FORȚA DREPTEI-voturi","CIOARĂ MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MILEA GHERASE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL MIHAIL KOGĂLNICEANU",172,"MIHAIL KOGĂLNICEANU",93995,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:58:31",1374,1340,3,11,20,887,855,1,11,20,873,14,1516,629,82,399,270,44,30,48
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",173,"MIHAIL KOGĂLNICEANU",93995,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:24",1259,1224,1,8,26,802,767,1,8,26,779,23,1350,548,68,373,211,45,34,48
