precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA MIHAIL-ALIANȚA ELECTORALĂ PSD PNL-voturi","PEŢA IANCU-TRAIAN-MIRCEA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
25,ILFOV,"CĂMINUL CULTURAL MULTIFUNCŢIONAL",235,GRĂDIŞTEA,103443,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:31:22",1651,1598,0,6,47,1191,1138,0,6,47,1100,32,1800,664,742,358
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SITARU",236,GRĂDIŞTEA,103443,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:18:52",909,871,1,6,31,590,553,0,6,31,567,21,977,389,401,166
