precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IURIAN ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","HORINCAŞ VASILE-TEODOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
28,MUREŞ,"ȘCOALA GIMNAZIALĂ BĂRBOȘI",571,"ZAU DE CÂMPIE",120370,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:05",358,341,1,6,10,185,169,0,6,10,175,10,380,195,142,33
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ZAU DE CÎMPIE",570,"ZAU DE CÂMPIE",120370,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:39",1228,1209,0,3,16,607,588,0,3,16,573,15,1335,728,492,81
28,MUREŞ,"ȘCOALA PRIMARĂ CLASELE 0-IV ZAU DE CÎMPIE",569,"ZAU DE CÂMPIE",120370,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:59:15",943,912,0,1,30,474,443,0,1,30,457,17,1015,541,403,54
