precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂBEANU LILIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","CARAMAN NEAGU-PARTIDUL SOCIAL DEMOCRAT-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALĂ VIȘANI",276,VIŞANI,44462,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:20",1338,1335,0,3,0,878,875,0,3,0,854,24,1450,572,179,675
9,BRĂILA,"ȘCOALA PRIMARĂ CÂINENI-BĂI",277,VIŞANI,44462,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:21",462,461,0,1,0,242,241,0,1,0,235,7,515,273,60,175
