precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STÎRPICI CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MAREŞ FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIONTE MIHAI-ALIANȚA ELECTORALĂ PSD-PUSL-voturi","TUDOR VASILE-CRISTIAN-voturi"
31,PRAHOVA,"CĂMIN CULTURAL DIN SAT PODENII NOI",502,"PODENII NOI",134443,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:15",1334,1288,0,32,14,805,759,0,32,14,780,25,1400,580,92,142,540,6
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT MEHEDINȚA",503,"PODENII NOI",134443,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:02",1426,1343,0,49,34,917,834,0,49,34,898,19,1408,491,29,141,722,6
31,PRAHOVA,"CĂMIN CULTURAL ÎN SAT VALEA DULCE",505,"PODENII NOI",134443,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:13",781,759,0,10,12,508,486,0,10,12,488,20,908,400,74,84,313,17
31,PRAHOVA,"GRADINITA DE COPII POPESTI",504,"PODENII NOI",134443,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:50",482,445,0,18,19,290,258,0,18,14,277,13,508,218,17,91,167,2
