precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",38,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:12:14",1529,1520,4,5,0,683,678,0,5,0,666,17,1692,1009,61,283,225,17,40,40
30,OLT,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:25:31",1725,1680,0,16,29,816,771,0,16,29,799,17,1875,1059,65,323,332,18,40,21
30,OLT,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:47:43",1575,1566,0,9,0,793,784,0,9,0,767,26,1738,945,72,335,272,21,52,15
30,OLT,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:17:06",1413,1401,1,10,1,653,642,0,10,1,630,23,1559,906,44,258,237,13,46,32
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",45,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:42",1541,1533,3,5,0,766,761,0,5,0,751,15,1700,934,49,329,273,15,65,20
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",44,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:52",1412,1398,0,14,0,678,664,0,14,0,659,19,1551,873,39,290,233,20,62,15
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",43,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:23",1396,1390,0,6,0,660,654,0,6,0,640,20,1546,886,67,271,205,10,49,38
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",36,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:02",761,752,2,5,2,449,442,0,5,2,438,11,865,416,27,192,172,15,24,8
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",35,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:27",1555,1544,0,11,0,656,645,0,11,0,616,40,1711,1055,54,254,212,16,50,30
30,OLT,"LICEUL TEHNOLOGIC METALURGIC",34,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:10",1537,1527,0,10,0,680,670,0,10,0,661,19,1696,1016,78,247,253,20,38,25
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",26,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 20:40:41",1656,1646,3,7,0,745,738,0,7,0,715,30,1836,1091,74,273,287,15,33,33
30,OLT,"LICEUL TEHNOLOGIC P.S. AURELIAN",25,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:49:08",1161,1150,2,9,0,594,585,0,9,0,565,29,1277,683,48,210,221,21,46,19
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",13,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:17",1421,1415,0,6,0,735,729,0,6,0,716,19,1564,829,56,266,295,22,46,31
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",14,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:22",1181,1169,0,12,0,590,578,0,12,0,570,20,1294,704,50,217,213,19,55,16
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",12,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:44:03",1458,1442,5,11,0,698,687,0,11,0,682,16,1609,911,52,252,281,11,56,30
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",16,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:09:33",1160,1153,0,6,1,579,572,0,6,1,545,34,1280,701,45,211,207,20,44,18
30,OLT,"LICEUL TEORETIC NICOLAE TITULESCU",15,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:12",962,954,2,6,0,475,469,0,6,0,463,7,1062,592,28,162,204,7,38,24
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",40,"MUNICIPIUL SLATINA",125347,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:06",1615,1609,0,6,0,759,753,0,6,0,736,23,1782,1023,101,289,270,19,33,24
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",39,"MUNICIPIUL SLATINA",125347,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:40:39",1288,1281,1,5,1,575,569,0,5,1,567,8,1425,850,58,235,190,14,39,31
30,OLT,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCOVEANU",41,"MUNICIPIUL SLATINA",125347,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:52:27",1542,1531,2,7,2,775,766,0,7,2,760,15,1700,925,55,318,275,30,51,31
