precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PAIU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ZĂBRĂUŢANU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
4,BACĂU,"FOSTUL LOCAL AL ŞCOLII CAPOTEŞTI",395,HURUIEŞTI,23047,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:25:55",151,138,0,13,0,98,85,0,13,0,93,5,208,110,9,84
4,BACĂU,"FOSTUL LOCAL AL ŞCOLII PERCHIU",398,HURUIEŞTI,23047,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:30:43",110,107,0,3,0,63,60,0,3,0,61,2,102,39,18,43
4,BACĂU,"FOSTUL LOCAL AL ŞCOLII PRADAIŞ",399,HURUIEŞTI,23047,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:11",256,254,0,2,0,143,141,0,2,0,136,7,300,157,19,117
4,BACĂU,"LOCALUL ŞCOLII FUNDOAIA",396,HURUIEŞTI,23047,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:04",294,288,0,6,0,154,148,0,6,0,151,3,300,146,15,136
4,BACĂU,"LOCALUL ŞCOLII OCHENI",397,HURUIEŞTI,23047,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:43",258,250,0,8,0,147,139,0,8,0,146,1,308,161,12,134
4,BACĂU,"PRIMĂRIA HURUIEŞTI",393,HURUIEŞTI,23047,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:26",525,522,0,3,0,300,297,0,3,0,286,14,500,200,53,233
4,BACĂU,"SEDIUL PRIMARIEI COMUNEI HURUIESTI, JUDETUL BACAU",394,HURUIEŞTI,23047,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:23",116,115,0,1,0,57,56,0,1,0,57,0,108,51,20,37
