precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GROZAV DANIEL-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DRUJESCU BOGDAN-CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANTOHE TUDOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DELIVER ION-JENICĂ-PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"CAMINUL CULTURAL",437,VLĂDEŞTI,77536,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:53",1200,1137,0,11,52,552,489,0,11,52,531,21,1317,765,340,117,71,3
18,GALAŢI,"GRĂDINIȚA ”ALBA CA ZĂPADA” BRĂNEȘTI",438,VLĂDEŞTI,77536,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:47",795,767,0,6,22,390,362,0,6,22,376,14,849,459,222,38,116,0
