precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
24,IAŞI,"CENTRU DE ZI NUMĂRUL 1 SAT CORNEȘTI",549,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:49",1339,1332,0,5,2,580,573,0,5,2,551,29,1502,922,96,69,31,315,3,4,18,15
24,IAŞI,"GRĂDINIŢA CU PROGRAM NORMAL",551,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:36",1422,1416,2,4,0,624,620,0,4,0,616,8,1600,976,77,154,78,230,8,7,31,31
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL CIURBEȘTI",548,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:13",1099,1090,0,9,0,482,473,0,9,0,464,18,1200,718,69,63,78,218,5,1,18,12
24,IAŞI,"GRADINITA CU PROGRAM NORMAL -HORPAZ",550,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:28:28",1980,1972,4,4,0,881,876,1,4,0,865,16,2199,1318,79,272,87,329,6,11,14,67
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP A)",545,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:53",1668,1640,8,18,2,775,755,0,18,2,755,20,1800,1025,106,219,48,310,8,14,19,31
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP B)",543,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:36:38",1486,1481,1,4,0,757,753,0,4,0,746,11,1600,842,178,171,67,289,7,8,10,16
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL MIROSLAVA (CORP B)",544,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:40",1384,1377,5,0,2,703,701,0,0,2,683,20,1500,797,141,170,75,263,4,5,9,16
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL-VALEA ADÂNCĂ ( CORP A)",557,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:39",1554,1546,4,4,0,625,621,0,4,0,611,14,1600,975,55,248,38,181,10,4,31,44
24,IAŞI,"GRĂDINIȚA CU PROGRAM NORMAL-VALEA ADÂNCĂ (CORP B)",558,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:16:50",1576,1574,0,2,0,683,681,0,2,0,669,14,1600,114,47,301,47,183,6,4,21,60
24,IAŞI,"GRADINITA CU PROGRAM NORMAL-VALEA ADINCA",553,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:01",1384,1370,8,6,0,686,680,0,6,0,677,7,1500,816,77,282,48,197,9,5,23,36
24,IAŞI,"GRADINITA CU PROGRAM NORMAL-VALEA ADINCA",554,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:48",1487,1477,4,6,0,666,660,0,6,0,651,15,1600,934,63,251,67,155,11,6,34,64
24,IAŞI,"IMOBIL ACHIȚEI-VALEA ADÂNCĂ",556,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:17:23",1315,1305,3,7,0,631,623,1,7,0,622,9,1312,678,42,278,48,173,17,8,18,38
24,IAŞI,"IMOBIL ACHIȚEI-VALEA ADÂNCĂ",555,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:17:59",1727,1711,6,10,0,860,850,0,10,0,850,10,1900,1040,95,345,81,215,10,20,44,40
24,IAŞI,"SALA DE SPORT -MIROSLAVA",546,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:12:28",1999,1987,0,12,0,1047,1035,0,12,0,1041,6,2200,1150,211,296,69,380,11,9,16,49
24,IAŞI,"SCOALA CU CLASELE I-IV BRĂTULENI",547,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:37",342,335,0,7,0,173,166,0,7,0,166,7,400,227,32,12,18,93,2,1,7,1
24,IAŞI,"SCOALA GIMNAZIALA ”MIRON BARNOVSCHI”-URICANI",552,MIROSLAVA,97919,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:23:55",1173,1168,1,4,0,553,549,0,4,0,529,24,1300,747,64,90,72,264,7,6,7,19
24,IAŞI,"SCOALA PRIMARA-VOROVESTI",559,MIROSLAVA,97919,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:21:10",1485,1468,4,13,0,748,735,0,13,0,727,21,1600,852,100,267,58,245,8,7,11,31
