precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZANFIR MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SPOREA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","GALETAR ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","ROMÎNU IONEL-FORȚA DREPTEI-voturi","STOIA ION-PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"AZILUL DE BĂTRÂNI-CENTRU DE ZI",248,FOROTIC,52856,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:01",563,542,0,13,8,377,356,0,13,8,369,8,610,233,1,199,145,1,23
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ COMORÂȘTE",249,FOROTIC,52856,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:34",459,429,1,10,19,315,285,1,10,19,307,8,468,153,1,217,73,10,6
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ SURDUCU MARE",250,FOROTIC,52856,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:49",335,326,1,6,2,231,222,1,6,2,225,6,358,127,6,161,52,0,6
