precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEMUŢ NECULAI-PARTIDUL NAȚIONAL LIBERAL-voturi","ARSENE NICOLAE-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DOBRIN FLORIN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","VALISĂREANU CĂTĂLIN-GEORGEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",266,REGHIU,177469,2,PART,PRCNCT,P,P_SV,"2024-06-12 22:00:45",937,921,0,5,11,570,554,0,5,11,551,19,1034,464,79,23,1,448
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NR.1 ȘINDRILARI",267,REGHIU,177469,2,PART,PRCNCT,P,P_SV,"2024-06-12 21:57:09",508,495,0,7,6,270,257,0,7,6,264,6,551,281,39,7,8,210
41,VRANCEA,"ȘCOALA PRIMARĂ RĂIUȚI",265,REGHIU,177469,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:42",241,238,0,3,0,150,147,0,3,0,145,5,261,111,10,11,3,121
