precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GENTEA CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CODREA IONEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COTEŢ MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIVESCU REMUS-GEORGE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PÂRVU IOANA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MOŞTEANU LIVIU-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:47",1207,1199,4,4,0,432,428,0,4,0,420,12,1300,868,161,31,136,4,13,75
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU”",2,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:14:58",1074,1024,42,8,0,465,457,0,8,0,452,13,1200,735,172,37,149,8,2,84
3,ARGEŞ,"COLEGIUL ECONOMIC ”MARIA TEIULEANU” (FOST LICEUL TEHNOLOGIC „ION MINCU”)",4,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:34",1404,1392,1,11,0,653,642,0,11,0,616,27,1592,149,232,49,189,6,18,122
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",73,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:59",1508,1502,0,6,0,565,559,0,6,0,536,29,1700,1135,202,27,173,8,21,105
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ALEXANDRU ODOBESCU”",72,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:23",2200,2188,5,6,1,948,941,0,6,1,923,25,2300,1352,363,58,259,20,23,200
3,ARGEŞ,"COLEGIUL NAŢIONAL ”ION C. BRĂTIANU”",17,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:41:05",838,822,9,6,1,364,357,0,6,1,354,10,900,536,99,18,176,1,6,54
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",46,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:05:24",1276,1260,8,8,0,531,523,0,8,0,519,12,1500,969,183,31,183,6,11,105
3,ARGEŞ,"COLEGIUL TEHNIC ” ARMAND CĂLINESCU”",45,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:26:07",698,664,19,12,3,314,299,0,12,3,306,5,800,477,127,17,91,10,3,58
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",63,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:52",1472,1466,0,6,0,516,510,0,6,0,498,18,1700,1184,191,53,135,10,17,92
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",64,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:47",1749,1744,1,4,0,742,738,0,4,0,723,19,2000,1258,280,68,192,15,18,150
3,ARGEŞ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",65,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:11:17",1496,1489,1,6,0,596,590,0,6,0,577,18,1700,1105,269,49,142,10,13,94
3,ARGEŞ,"COLEGIUL TEHNIC ”DIMITRIE DIMA”",77,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:05:52",1446,1435,0,10,1,592,581,0,10,1,580,2,1600,997,235,35,190,4,7,109
