precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CĂMINUL CULTURAL CHICHIŞ",133,CHICHIŞ,64238,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:15",849,800,4,5,40,582,536,1,5,40,566,16,913,331,25,32,15,494
15,COVASNA,"ŞCOALA GIMNAZIALĂ BĂCEL",134,CHICHIŞ,64238,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:14:45",439,431,1,7,0,190,183,0,7,0,182,8,500,310,96,37,30,19
