precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
13,CLUJ,"CASA DE CULTURĂ BACIU",326,BACIU,55838,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:14",1822,1798,5,15,4,867,848,0,15,4,835,32,1955,1088,142,337,39,131,65,3,10,92,16
13,CLUJ,"CASA DE CULTURĂ BACIU",324,BACIU,55838,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:42:48",1502,1478,5,15,4,860,841,0,15,4,843,17,1632,772,186,337,39,142,26,9,6,76,22
13,CLUJ,"CASA DE CULTURĂ BACIU",325,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:02:02",1691,1687,1,2,1,949,946,0,2,1,930,16,1839,893,264,327,30,210,18,6,1,69,5
13,CLUJ,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT (STRUCTURĂ BLOCURI)",322,BACIU,55838,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:58:18",1689,1662,10,17,0,742,725,0,17,0,736,6,1838,1096,132,199,47,165,5,6,1,150,31
13,CLUJ,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT (STRUCTURĂ BLOCURI)",323,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:37",718,686,5,27,0,410,383,0,27,0,408,2,764,354,51,137,28,78,1,7,3,74,29
13,CLUJ,"ȘCOALA CORUȘU",327,BACIU,55838,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:48:57",578,565,3,7,3,337,327,0,7,3,333,4,632,295,93,46,21,127,2,3,0,31,10
13,CLUJ,"ȘCOALA MERA",328,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:25",1357,1321,1,8,27,834,799,0,8,27,776,58,1453,619,138,530,13,47,26,0,13,2,7
13,CLUJ,"ȘCOALA POPEȘTI",329,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:01",840,823,1,16,0,544,528,0,16,0,532,12,898,354,103,152,83,110,1,4,2,66,11
13,CLUJ,"ȘCOALA SĂLIȘTEA NOUĂ",330,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:02:40",160,153,0,7,0,97,90,0,7,0,93,4,167,70,24,16,8,22,1,3,1,18,0
13,CLUJ,"ȘCOALA SUCEAGU",331,BACIU,55838,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:28",1230,1207,1,16,6,735,713,0,16,6,689,46,1347,612,112,307,20,162,59,3,0,20,6
