precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ION EUGEN-ELVIS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GĂINĂ TITEL-COSMIN-PARTIDUL NAȚIONAL LIBERAL-voturi","OPREA PAUL-PARTIDUL SOCIAL DEMOCRAT-voturi","ILIESCU DUMITRU-BLOCUL SUVERANIST ROMÂN-voturi"
17,DOLJ,"CLUB CAMIN CULTURAL DIOSTI",330,DIOŞTI,72052,4,PART,PRCNCT,P,P_SV,"2024-06-12 14:36:48",938,903,0,6,29,539,504,0,6,29,512,27,956,417,10,55,187,260
17,DOLJ,"SCOALA GENERALA CU CLASELE I-IV RADOMIR",332,DIOŞTI,72052,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:48",850,812,0,8,30,515,477,0,8,30,472,43,1000,485,8,85,31,348
17,DOLJ,"SCOALA GENERALA CU CLASELE I-VIII CIOCANESTI",331,DIOŞTI,72052,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:07",533,500,1,6,26,342,310,0,6,26,315,27,550,208,57,11,66,181
