precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SABĂU MIHAELA-ANGELA-PARTIDUL SOCIAL DEMOCRAT-voturi","CADAR FLORIN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
5,BIHOR,"CĂMIN CULTURAL VĂLANII DE BEIUȘ",649,"UILEACU DE BEIUŞ",31921,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:14:59",196,186,0,7,3,180,170,0,7,3,165,5,205,35,123,42
5,BIHOR,"GRĂDINIŢA CU PROGRAM NORMAL NR.3",648,"UILEACU DE BEIUŞ",31921,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:22",351,309,0,29,13,305,263,0,29,13,301,4,353,48,266,35
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.1",646,"UILEACU DE BEIUŞ",31921,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:19:53",503,466,1,27,9,390,354,0,27,9,384,6,528,138,198,186
5,BIHOR,"ŞCOALA PRIMARĂ NR.1",647,"UILEACU DE BEIUŞ",31921,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:46",652,603,1,33,15,555,506,1,33,15,545,10,673,118,226,319
