precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FABIAN VASILE-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CERGHIZAN MARIUS-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVAN DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
28,MUREŞ,"CÂMIN CULTURAL CHINARI",528,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:19:41",620,610,2,6,2,373,364,1,6,2,359,14,700,327,26,158,175
28,MUREŞ,"CĂMIN CULTURAL CURTENI",529,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:03:32",897,881,5,3,8,570,559,0,3,8,555,15,989,419,17,133,405
28,MUREŞ,"CĂMIN CULTURAL SÂNTANA DE MUREȘ",526,"SÂNTANA DE MUREŞ",114453,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:54",1630,1613,4,10,3,974,961,0,10,3,941,33,1780,806,144,390,407
28,MUREŞ,"CĂMIN CULTURAL SÂNTANA DE MUREȘ",525,"SÂNTANA DE MUREŞ",114453,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:23",1620,1601,8,8,3,933,922,0,8,3,911,22,1750,817,149,398,364
28,MUREŞ,"CĂMINUL CULTURAL BĂRDEŞTI",527,"SÂNTANA DE MUREŞ",114453,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:43",472,464,0,8,0,292,284,0,8,0,289,3,510,218,48,133,108
