precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHERASIM VASILE-BOGDAN-PARTIDUL NAȚIONAL LIBERAL-voturi","STATE GHEORGHE-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ACRISTINEI AUREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOISEI ION-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL",223,CÂNDEŞTI,122061,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:13:27",687,677,0,5,5,383,373,0,5,5,375,8,696,313,73,88,213,1
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL",225,CÂNDEŞTI,122061,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:57",1078,1060,0,10,8,468,457,0,3,8,446,22,1100,624,164,172,105,5
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ",222,CÂNDEŞTI,122061,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:43",1250,1217,0,7,26,686,653,0,7,26,655,31,1400,714,344,208,96,7
29,NEAMŢ,"ȘCOALA PRIMARĂ",224,CÂNDEŞTI,122061,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:34:44",306,297,0,7,2,164,155,0,7,2,154,10,400,165,38,70,45,1
