county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","MURĂRESCU ALEXANDRA MIHAELA-voturi","MURĂRESCU ALEXANDRA MIHAELA-mandate-faza-1","MURĂRESCU ALEXANDRA MIHAELA-mandate-faza-2","SÁRKÖZI MIHAI-voturi","SÁRKÖZI MIHAI-mandate-faza-1","SÁRKÖZI MIHAI-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-1","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","KISS ILDIKO-voturi","KISS ILDIKO-mandate-faza-1","KISS ILDIKO-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","ŞODINCA CIPRIAN-voturi","ŞODINCA CIPRIAN-mandate-faza-1","ŞODINCA CIPRIAN-mandate-faza-2","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-voturi","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-2","MOGOŞ RADU-NICU-voturi","MOGOŞ RADU-NICU-mandate-faza-1","MOGOŞ RADU-NICU-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","GHERASIM ALIN-DUMITRU-voturi","GHERASIM ALIN-DUMITRU-mandate-faza-1","GHERASIM ALIN-DUMITRU-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA UCRAINENILOR DIN ROMÂNIA-mandate-g8","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-voturi","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-mandate-faza-1","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-mandate-faza-2","STEOP DAVID-voturi","STEOP DAVID-mandate-faza-1","STEOP DAVID-mandate-faza-2"
2,ARAD,ALMAŞ,9743,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:37:45",2071,1970,4,31,66,1392,1296,1,29,66,1342,50,2200,808,67,93,107,113,579,5,0,331,2,1,163,1,0,89,0,0,180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,APATEU,9798,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:57:39",2736,2607,1,14,114,1902,1773,1,14,114,1846,56,2989,1087,92,129,147,135,589,4,0,872,6,1,192,1,0,0,0,0,0,0,0,106,0,1,40,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,ARCHIŞ,9832,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:36:12",1204,1150,2,17,35,904,852,0,17,35,886,18,1300,396,44,62,70,94,274,2,1,503,5,0,76,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BÂRSA,10051,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:31:23",1523,1424,1,58,40,1134,1036,0,58,40,1107,27,1594,460,55,77,88,95,470,4,1,500,5,0,81,0,1,35,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BÂRZAVA,10104,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:28:58",2029,1880,5,77,67,1242,1098,0,77,67,1173,68,2130,889,58,82,93,106,131,1,0,1042,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BATA,9887,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:05:23",887,806,7,59,15,633,558,1,59,15,595,38,895,262,29,41,47,66,284,4,0,130,1,1,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BELIU,9930,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:36:04",2626,2468,3,56,99,1750,1593,3,56,98,1686,64,2737,987,84,118,134,147,780,5,0,315,2,0,161,1,0,0,0,0,29,0,0,89,0,1,162,1,0,0,0,0,110,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BIRCHIŞ,10006,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:33:10",1481,1413,0,46,22,907,839,0,46,22,884,23,1586,679,44,61,70,75,316,4,0,234,3,0,281,3,1,0,0,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BOCSIG,10195,1,FINAL,UAT,CL,CL_CE,"2024-06-10 23:25:47",2548,2494,0,16,38,1710,1656,0,16,38,1642,60,2936,1220,82,114,131,116,766,6,1,448,3,1,296,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BRAZII,10239,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:49:39",1008,898,1,59,50,795,685,1,59,50,758,37,1083,288,37,53,60,84,254,3,0,252,3,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,49,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,BUTENI,10293,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:51:52",2681,2493,4,37,147,1966,1790,2,37,137,1895,70,2924,959,94,132,151,142,1073,7,1,419,2,1,197,1,0,0,0,0,0,0,0,0,0,0,39,0,0,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,CĂRAND,10346,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:03:51",928,881,0,25,22,640,593,0,25,22,593,47,964,321,29,41,47,65,174,2,1,219,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,106,1,1,0,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,CERMEI,10373,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:42:05",2177,2114,3,14,46,1302,1241,1,14,46,1207,95,2398,1096,60,84,96,108,918,8,0,170,1,1,109,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,CHISINDIA,10417,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:49:39",1065,973,0,58,34,826,736,0,57,33,775,51,1096,270,38,54,62,86,280,3,0,271,3,0,133,1,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,CONOP,10453,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:24:57",1796,1654,3,98,41,1286,1145,2,98,41,1233,53,1870,584,61,86,98,110,616,5,1,469,4,0,134,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,COVĂSINŢ,10514,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:37:09",2108,2040,3,14,51,1113,1046,2,14,51,1061,52,2272,1159,53,74,84,96,710,7,0,351,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,CRAIVA,10532,2,FINAL,UAT,CL,CL_CE,"2024-06-13 17:15:08",2331,2117,1,112,101,1640,1427,0,112,101,1557,83,2455,815,77,108,124,140,352,2,0,886,6,0,135,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,99,0,1,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,DEZNA,10649,2,FINAL,UAT,CL,CL_CE,"2024-06-13 20:29:39",1099,953,1,112,33,857,714,0,112,31,822,35,1046,189,41,57,65,91,228,2,0,413,4,1,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,DIECI,10701,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:19:50",1322,1162,1,64,95,990,830,1,64,95,955,33,1308,320,47,66,76,97,463,4,1,182,1,1,106,1,0,0,0,0,52,0,0,72,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,DOROBANŢI,12912,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:43:37",1347,1293,0,13,41,819,765,0,13,41,785,23,1468,659,39,54,62,71,103,1,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,FÂNTÂNELE,9280,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:09:37",3165,3133,3,12,17,1839,1809,1,12,17,1783,56,3450,1611,89,124,142,137,1159,8,1,320,2,0,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,FELNAC,10827,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:30:32",2577,2506,5,10,56,1447,1380,1,10,56,1385,62,2816,1369,69,96,110,106,133,1,0,1145,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,FRUMUŞENI,12920,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:36:29",2377,2341,11,11,14,1389,1361,3,11,14,1338,51,2590,1201,66,93,107,121,817,6,1,417,3,0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,GHIOROC,10872,2,FINAL,UAT,CL,CL_CE,"2024-06-27 18:06:54",3548,3491,28,19,10,1718,1684,5,19,10,1668,50,3882,2164,83,116,133,128,1228,9,1,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,GRĂNICERI,10916,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:46:58",2028,1974,0,19,35,1158,1104,0,19,35,1093,65,2236,1078,54,76,87,99,488,4,1,388,3,1,217,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,GURAHONŢ,10943,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:44:43",3057,2861,1,88,107,2126,1930,1,88,107,2056,70,3326,1200,102,143,164,158,912,5,1,627,3,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1,1,0,0,0,0,0,0,0,0,0,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,HĂLMĂGEL,11174,1,FINAL,UAT,CL,CL_CE,"2024-06-10 20:16:29",825,728,0,51,46,746,649,0,51,46,717,28,936,191,35,50,57,79,251,3,0,263,3,0,53,0,1,0,0,0,0,0,0,0,0,0,57,0,1,39,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,HĂLMAGIU,11058,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:07:12",2135,1890,2,121,122,1691,1446,2,121,122,1633,55,2201,513,81,114,130,146,989,6,1,329,2,0,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,HĂŞMAŞ,11236,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:31:43",1049,935,0,79,35,844,730,0,79,35,806,36,1048,206,40,56,64,85,242,2,1,69,0,1,263,3,0,0,0,0,0,0,0,137,1,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,IGNEŞTI,11307,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:28:27",595,543,0,37,15,460,408,0,37,15,445,15,620,160,22,31,35,49,223,4,1,59,1,0,163,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,IRATOŞU,11352,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:18:46",2256,2113,7,64,72,1333,1195,2,64,72,1292,39,2342,1011,64,90,103,112,425,3,1,222,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,3,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ARAD,LIVADA,9333,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:22:53",3557,3505,19,24,9,2007,1971,3,24,9,1955,52,3847,1840,97,136,156,140,535,3,1,563,4,0,210,1,0,0,0,0,0,0,0,272,1,1,146,1,0,56,0,0,0,0,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
