precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LAŢIU IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ROTAR GHEORGHE-VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SPĂTĂCEAN CARMEN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:31",1135,1131,0,4,0,548,544,0,4,0,544,3,1300,753,48,418,78
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:04",324,320,0,3,1,172,168,0,3,1,169,3,400,228,14,138,17
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,328,13,800,459,41,270,17
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:17",786,772,1,8,5,435,422,0,8,5,429,6,800,365,37,307,85
1,ALBA,"COLEGIUL NAŢIONAL ”INOCHENTIE MICU CLAIN’’",86,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:37",1330,1319,2,6,3,702,692,1,6,3,693,9,1500,798,63,490,140
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL ”IZVOARELE” BLAJ",89,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:33",1285,1278,0,5,2,626,619,0,5,2,602,24,1400,770,54,429,119
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPIILOR” BLAJ",77,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:11",571,561,1,9,0,297,288,0,9,0,284,4,600,312,21,198,65
1,ALBA,"LICEUL TEHNOLOGIC ”ŞTEFAN MANCIULEA” BLAJ",82,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:38",637,611,7,6,13,306,287,0,6,13,297,9,700,394,34,212,51
1,ALBA,"LICEUL TEHNOLOGIC ”TIMOTEI CIPARIU”",85,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:36",1390,1383,2,1,4,783,777,1,1,4,771,12,1500,717,51,544,176
1,ALBA,"PIAŢA AGROALIMENTARĂ",76,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:48",951,951,0,0,0,459,459,0,0,0,448,11,1146,687,37,326,85
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” MĂNĂRADE",92,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:27",905,887,3,7,8,429,413,1,7,8,417,12,900,471,15,352,50
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION MICU MOLDOVAN” BLAJ",88,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:02",1582,1569,0,12,1,630,617,0,12,1,559,71,1700,1070,64,446,49
1,ALBA,"ŞCOALA GIMNAZIALĂ ”PETRU PAVEL ARON” BLAJ",87,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:08",1677,1655,6,14,2,814,798,0,14,2,789,25,1800,986,80,551,158
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION BĂRNUŢIU” TIUR",91,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:19",658,640,0,4,14,658,640,0,4,14,649,9,1412,754,33,528,88
1,ALBA,"ŞCOALA GIMNAZIALĂ ”TOMA COCIŞIU” BLAJ",80,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:15",1135,1125,4,6,0,530,524,0,6,0,510,10,1300,780,43,377,90
1,ALBA,"ŞCOALA PRIMARĂ PETRISAT",90,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:09:44",464,458,0,6,0,270,264,0,6,0,268,2,500,230,9,238,21
1,ALBA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ BLAJ",83,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:59",498,494,1,2,1,269,266,0,2,1,265,4,500,231,13,197,55
