precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL TEŞ",343,BRESTOVĂŢ,156151,2,PART,PRCNCT,CL,CL_SV,"2024-06-17 15:08:25",222,191,0,25,6,183,152,0,25,6,179,4,233,50,10,47,83,39
37,TIMIŞ,"CLĂDIREA COMUNEI BRESTOVĂŢ (FOSTA ŞCOALĂ GENERALĂ COŞARII)",342,BRESTOVĂŢ,156151,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:56",142,124,0,16,2,113,95,0,16,2,110,3,140,27,2,9,94,5
37,TIMIŞ,"PRIMĂRIA BRESTOVĂŢ",341,BRESTOVĂŢ,156151,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:03",230,201,0,26,3,164,135,0,26,3,155,9,235,71,10,32,92,21
