precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","AILENEI DIANA-LĂCRĂMIOARA-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL NOU",412,OSTRA,149655,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:56:19",1741,1730,0,1,10,809,798,0,1,10,770,39,1838,1029,100,440,116,26,88
35,SUCEAVA,"CASA DE TIP FAMILIAL ”CIREŞARII”",413,OSTRA,149655,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:02:25",1021,1016,0,3,2,529,524,0,3,2,519,10,1200,671,95,320,45,20,39
