precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PÎRVAN VIRGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","URTILĂ CRISTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BUŞICĂ CONSTANTINA-FORȚA DREPTEI-voturi","CURIMAN MIHAELA-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"CAMINUL CULTURAL",242,BÂRCA,70940,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:51:48",1732,1614,1,87,30,979,862,0,87,30,918,61,1830,851,496,384,17,21
17,DOLJ,"GRADINITA DE COPII",243,BÂRCA,70940,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:29",1541,1441,1,68,31,906,806,1,68,31,863,43,1600,694,292,532,25,14
