precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂRĂŞILĂ GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMBRAVĂ ION-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","LIXANDRU CARMEN-FLORENTINA-PARTIDUL SOCIAL DEMOCRAT-voturi"
40,VÂLCEA,"FOSTA ŞCOALA VERDEA",392,SUTEŞTI,173597,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:17",430,412,0,7,11,314,296,0,7,11,307,7,470,156,10,213,84
40,VÂLCEA,"ṢCOALA GIMNAZIALĂ SUTEŞTI",391,SUTEŞTI,173597,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:08:09",1228,1162,2,33,31,817,752,1,33,31,800,17,1320,503,13,614,173
