precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOFÎCĂ ION-MARIAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL VERDE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:12",1517,1501,11,5,0,766,761,0,5,0,755,11,1600,834,28,33,248,45,7,240,13,76,4,54,7
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,623,13,1400,764,16,12,179,56,9,182,5,62,9,90,3
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:06:38",1662,1652,2,8,0,786,778,0,8,0,754,24,1800,1014,26,37,242,29,10,238,5,71,6,83,7
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 22:00:13",1460,1451,4,5,0,555,550,0,5,0,532,11,1600,1045,24,12,160,33,13,197,4,47,5,32,5
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,547,8,1500,945,21,15,132,37,7,234,5,56,2,32,6
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,554,15,1500,931,21,16,147,36,8,225,5,57,4,28,7
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,475,17,1200,708,17,15,123,23,8,179,1,65,3,37,4
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,542,19,1400,839,19,18,148,23,8,191,2,66,4,56,7
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,449,12,1100,639,20,14,139,31,4,153,3,45,2,33,5
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:29",1407,1403,0,4,0,588,584,0,4,0,575,13,1600,1012,26,21,172,36,8,192,2,54,9,47,8
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,454,14,1200,732,21,10,129,37,5,151,3,45,8,44,1
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:46",1155,1143,1,8,3,563,552,0,8,3,552,11,1300,737,17,10,192,52,5,190,10,37,2,30,7
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",2,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:38",1046,1031,1,6,8,547,533,0,6,8,535,12,1200,653,24,8,156,58,5,182,6,32,4,57,3
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",46,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:15:53",1744,1725,9,10,0,703,693,0,10,0,676,17,2000,1297,31,19,189,27,10,232,7,78,5,66,12
20,GORJ,"COLEGIUL TEHNIC GENERAL GHEORGHE MAGHERU",45,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:52:35",1667,1660,0,7,0,599,592,0,7,0,591,8,1800,1201,24,22,120,25,8,247,2,87,3,43,10
20,GORJ,"COLEGIUL TEHNIC HENRI COANDĂ",53,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 22:20:59",784,767,3,14,0,375,361,0,14,0,353,22,900,525,19,8,83,12,6,128,0,59,9,27,2
20,GORJ,"COLEGIUL TEHNIC ION MINCU",43,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:37:40",1249,1242,0,7,0,521,514,0,7,0,515,6,1400,879,21,20,118,21,8,200,4,66,5,46,6
20,GORJ,"COLEGIUL TEHNIC ION MINCU",44,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:30",1118,1111,2,5,0,475,470,0,5,0,469,6,1300,825,26,18,114,29,5,172,0,59,3,39,4
20,GORJ,"COLEGIUL TEHNIC NR.2",6,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:53:03",1307,1297,4,6,0,590,584,0,6,0,580,10,1500,910,26,24,169,49,18,201,3,42,8,31,9
20,GORJ,"IMOBIL NR.42",56,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:10",736,726,4,5,1,347,341,0,5,1,343,4,800,453,7,12,92,20,6,131,3,33,3,32,4
20,GORJ,"LICEUL CU PROGRAM SPORTIV",30,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:09",889,886,0,3,0,382,379,0,3,0,370,12,1000,618,16,21,106,27,7,135,2,31,2,18,5
20,GORJ,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:22:12",1020,1015,1,4,0,455,451,0,4,0,431,24,1100,645,20,15,94,31,11,159,2,48,4,38,9
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",37,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:53",1176,1171,2,3,0,529,526,0,3,0,506,23,1300,771,36,19,128,30,4,174,2,55,6,52,0
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",34,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:18",1183,1176,1,6,0,566,560,0,6,0,553,13,1300,734,18,11,161,48,1,194,3,43,9,63,2
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",35,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:51:17",1463,1454,1,8,0,714,706,0,8,0,700,14,1700,986,29,21,167,60,8,212,8,49,10,126,10
20,GORJ,"LICEUL DE ARTE CONSTANTIN BRĂILOIU",36,"MUNICIPIUL TÂRGU JIU",77812,4,PART,PRCNCT,CL,CL_SV,"2024-06-14 23:02:13",1378,1370,0,8,0,577,569,0,8,0,553,24,1600,1023,3,10,168,31,7,263,3,22,1,42,3
20,GORJ,"LICEUL TEOLOGIC",15,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:23",1417,1411,2,4,0,623,619,0,4,0,603,20,1500,877,27,14,190,52,11,183,2,58,4,54,8
20,GORJ,"LICEUL TEOLOGIC",17,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:23",1258,1239,0,2,17,561,542,0,2,17,537,24,1400,839,17,15,156,35,7,193,6,60,0,44,4
20,GORJ,"LICEUL TEOLOGIC",16,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 23:17:52",1374,1371,0,3,0,492,489,0,3,0,474,8,1500,1008,22,16,100,32,4,192,2,55,8,20,23
20,GORJ,"PALATUL COPIILOR",14,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:10:46",955,949,0,5,1,441,435,0,5,1,429,12,1100,659,19,6,139,37,6,136,1,33,2,45,5
20,GORJ,"ŞCOALA GENERALĂ ECATERINA TEODOROIU",42,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:43",1328,1318,1,9,0,620,611,0,9,0,603,17,1600,980,30,25,150,40,5,229,2,57,7,53,5
20,GORJ,"ŞCOALA GIMNAZIALĂ ALEXANDRU ŞTEFULESCU",7,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:49:58",1126,1113,4,7,2,536,527,0,7,2,509,16,1200,664,16,9,161,36,6,162,7,46,6,49,11
20,GORJ,"ŞCOALA GIMNAZIALĂ CONSTANTIN BRÂNCUŞI",23,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:44",1459,1443,5,11,0,604,593,0,11,0,590,14,1600,996,24,32,174,35,18,182,1,61,5,50,8
