precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
38,TULCEA,"CĂMIN CULTURAL",143,LUNCAVIŢA,160680,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:54",1284,1268,1,12,3,721,705,1,12,3,685,35,1351,631,182,19,477,7
38,TULCEA,"CĂMIN CULTURAL",142,LUNCAVIŢA,160680,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:23",1623,1607,0,12,4,969,953,0,12,4,918,51,1774,805,219,39,636,24
38,TULCEA,"CASA PRAZNICALĂ",144,LUNCAVIŢA,160680,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:33",624,605,0,16,3,333,314,0,16,3,312,21,662,329,62,14,231,5
