precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÂRJEU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","CHICOŞ ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TENIE DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
18,GALAŢI,"CASA PRAZNICALĂ PAROHIA CĂRĂPCEȘTI",270,COROD,75953,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:37:59",656,652,0,3,1,334,330,0,3,1,322,12,800,466,58,12,252
18,GALAŢI,"DIPENSAR BLÂNZI",268,COROD,75953,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:34",964,953,1,9,1,418,408,0,9,1,404,14,1200,782,108,12,284
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1 COROD",266,COROD,75953,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:08:22",1207,1184,0,11,12,625,602,0,11,12,609,16,1200,575,133,19,457
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR. 1 COROD",265,COROD,75953,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:49:56",1257,1234,1,11,11,646,623,1,11,11,617,27,1200,554,162,19,436
18,GALAŢI,"ŞCOALA NR.3 COROD",267,COROD,75953,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:36",1445,1417,0,12,16,694,666,0,12,16,645,24,1600,931,103,19,523
18,GALAŢI,"ŞCOALA PRIMARĂ NR. 1 BRĂTULEŞTI",269,COROD,75953,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:50:01",486,478,0,5,3,245,237,0,5,3,234,11,537,292,47,10,177
