precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL UNIUNEA NAȚIONALĂ CREȘTINĂ A ROMILOR DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","ALB VASILE-DORINEL-voturi","BUHAIU DORIN-SEBASTIAN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:42",212,193,0,11,8,163,144,0,11,8,163,0,300,137,138,9,3,1,11,0,0,0,0,1,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:42:04",619,607,0,8,4,375,363,0,8,4,362,13,700,325,222,20,50,0,23,0,6,0,1,37,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",170,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:55:08",486,475,0,5,6,306,295,0,5,6,301,5,499,193,197,47,19,4,17,0,0,0,7,10,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",174,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:09",600,569,1,12,18,467,437,0,12,18,463,4,620,153,334,11,13,2,44,0,2,0,5,8,44
26,MARAMUREŞ,"CASA DE CULTURĂ",164,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:28:16",869,854,0,11,4,473,458,0,11,4,453,20,900,427,221,28,51,25,63,4,19,9,6,19,8
26,MARAMUREŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT",166,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:41:37",947,933,1,7,6,555,542,0,7,6,538,17,1000,445,300,35,75,14,53,1,17,0,5,29,9
26,MARAMUREŞ,"ȘCOALA GENERALĂ",171,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:04:05",197,184,0,9,4,162,149,0,9,4,157,5,200,38,135,3,9,1,8,0,0,0,0,1,0
26,MARAMUREŞ,"ȘCOALA GENERALĂ",172,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:47",536,502,0,29,5,350,316,0,29,5,337,13,600,250,126,164,18,0,23,0,1,0,0,2,3
26,MARAMUREŞ,"ȘCOALA GENERALĂ",169,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:46:53",315,305,0,7,3,207,197,0,7,3,203,4,400,193,137,5,4,1,54,0,1,0,0,0,1
26,MARAMUREŞ,"ȘCOALA GENERALĂ CU CLASELE I-IV",165,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:39:03",664,657,0,7,0,325,318,0,7,0,319,6,800,475,172,18,40,17,26,2,14,0,3,21,6
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 2",167,"ORAŞ ŞOMCUTA MARE",109176,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:40",848,837,1,10,0,526,516,0,10,0,351,175,900,374,75,6,4,7,7,116,2,131,0,3,0
