precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VODEA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞCHIOPU SILVIU-MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"GRĂDINIŢA DĂIŞOARA",450,UNGRA,42156,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:52",584,582,0,2,0,401,399,0,2,0,356,45,607,206,53,303
8,BRAŞOV,"ŞCOALA GENERALĂ UNGRA",449,UNGRA,42156,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:44",1140,1135,0,4,1,693,688,0,4,1,649,44,1300,605,42,607
