precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi"
20,GORJ,"CĂMINUL CULTURAL BÂLTA",283,RUNCU,81576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:25:34",1440,1389,0,29,22,971,920,0,29,22,950,21,1500,529,794,101,37,15,3
20,GORJ,"CĂMINUL CULTURAL DOBRIŢA",284,RUNCU,81576,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:32",835,774,1,30,30,561,502,0,30,29,549,12,900,339,463,40,16,28,2
20,GORJ,"CĂMINUL CULTURAL SUSENI",285,RUNCU,81576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:17:07",272,244,1,12,15,159,132,0,12,15,152,7,300,141,128,15,4,4,1
20,GORJ,"CĂMINUL CULTURAL VALEA MARE",286,RUNCU,81576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:58:13",471,436,0,25,10,471,436,0,25,10,456,15,760,289,387,45,19,4,1
20,GORJ,"ŞCOALA GENERALĂ RUNCU",282,RUNCU,81576,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:44:27",1290,1215,0,57,18,855,780,0,57,18,835,18,1300,447,638,126,32,16,23
