precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂCEŞANU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MARIUS-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ORCSIK TUDOR-VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
17,DOLJ,"CAMINUL CULTURAL",286,CASTRANOVA,71572,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:35",1583,1493,1,46,43,1120,1030,1,46,43,1086,34,1598,478,1016,64,6
17,DOLJ,"ŞCOALA PUŢURI",287,CASTRANOVA,71572,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:40:42",1125,1048,0,60,17,757,680,0,60,17,743,14,1200,429,580,153,10
