precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTE NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","PIŞEK FRANCISC-PARTIDUL SOCIAL DEMOCRAT-voturi","GUI IONUŢ-MIREL-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","CRIŞAN GAVRIL-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:53",509,496,0,6,7,267,254,0,6,7,261,6,560,293,133,115,4,9
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:46",821,792,3,21,5,512,491,0,16,5,498,14,870,358,261,144,61,32
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:38:38",622,603,0,6,13,343,324,0,6,13,337,6,670,327,185,112,18,22
