precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"BIBLIOTECA ORĂŞENEASCĂ ”GEORGE BACOVIA”",184,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:23",1669,1667,0,0,2,530,528,0,0,2,500,30,1800,1270,124,65,226,8,77,0
4,BACĂU,"CASA DE CULTURĂ ”ELISABETA BOSTAN”",182,"ORAŞ BUHUŞI",20778,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:44:55",1474,1466,2,4,2,589,583,0,4,2,560,25,1600,1015,156,114,221,10,54,5
4,BACĂU,"COMPLEXUL DE SERVICII COMUNITARE ȘI CENTRUL DE CONSILIERE, INFORMARE ȘI SPRIJIN",186,"ORAŞ BUHUŞI",20778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:28",1805,1799,1,5,0,472,467,0,5,0,448,19,2000,1530,120,74,174,13,62,5
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",181,"ORAŞ BUHUŞI",20778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:44:32",1234,1215,0,4,15,387,370,0,4,13,350,35,1400,1015,77,56,155,18,42,2
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA”",180,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:39",1368,1362,2,3,1,473,469,0,3,1,443,30,1500,1027,118,66,183,21,45,10
4,BACĂU,"LICEUL TEORETIC ”ION BORCEA” BUHUȘI CORP B",188,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:46",1612,1605,0,7,0,554,547,0,7,0,482,72,1800,1246,139,69,189,44,36,5
4,BACĂU,"PRIMĂRIA ORAŞ BUHUŞI",179,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:16:03",1619,1611,1,3,4,497,489,1,3,4,471,26,1800,1303,107,75,234,7,43,5
4,BACĂU,"SALA SPORT POLIVALENTĂ",189,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:02",1697,1667,26,2,2,502,498,0,2,2,477,25,1800,1298,126,74,190,8,75,4
4,BACĂU,"ŞCOALA GIMNAZIALĂ BUHUȘI",190,"ORAŞ BUHUŞI",20778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:56:46",1265,1260,0,5,0,412,407,0,5,0,348,64,1400,988,116,50,102,62,16,2
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",183,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:06",1498,1490,1,6,1,538,531,0,6,1,520,18,1600,1062,120,73,256,3,62,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR. 2 BUHUȘI",185,"ORAŞ BUHUŞI",20778,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:02",1719,1713,0,6,0,455,449,0,6,0,436,19,1900,1445,113,50,210,4,54,5
4,BACĂU,"ŞCOALA GIMNAZIALĂ ŞTEFAN CEL MARE",187,"ORAŞ BUHUŞI",20778,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:14",1539,1534,0,5,0,422,417,0,5,0,359,63,1700,1278,107,58,129,15,43,7
