precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CALARA ALEXANDRA-PARTIDUL SOCIAL DEMOCRAT-voturi","TAMAŞ BERNADIN-PARTIDUL NAȚIONAL LIBERAL-voturi","JUGARU MARIAN-FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","GURIŢĂ MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"SCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",368,GIOSENI,26346,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:29",1127,1125,0,2,0,433,431,0,2,0,414,19,1200,767,145,221,25,23
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",367,GIOSENI,26346,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:50",1241,1239,0,2,0,592,590,0,2,0,563,29,1300,708,183,317,39,24
4,BACĂU,"ŞCOALA GENERALA CU CLASELE I-VIII ION STRAT GIOSENI",366,GIOSENI,26346,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:30",866,866,0,0,0,386,386,0,0,0,375,11,1000,614,128,203,28,16
