precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLNAR ISTVAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","HERMAN ANDREI-VLAD-PARTIDUL NAȚIONAL LIBERAL-voturi","TIMBUŞ MIHAI-CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BURZO MIHAI-MIRCEA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RADU EMIL-OVIDIU-PARTIDUL ECOLOGIST ROMÂN-voturi","BUDA ANDREI-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
26,MARAMUREŞ,"CASA ORĂŞENEASCĂ DE CULTURĂ",187,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:56:19",1459,1440,4,14,1,794,779,0,14,1,785,9,1664,870,51,313,264,121,18,18
26,MARAMUREŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",188,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:45:12",1426,1399,0,12,15,804,777,0,12,15,793,11,1500,696,55,305,295,116,9,13
26,MARAMUREŞ,"FOSTUL DISPENSAR",203,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:00",221,212,0,7,2,133,124,0,7,2,130,3,300,167,3,70,44,7,2,4
26,MARAMUREŞ,GRĂDINIŢĂ,202,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:39:02",593,587,0,6,0,334,328,0,6,0,327,7,600,266,1,100,185,32,5,4
26,MARAMUREŞ,GRĂDINIȚA,199,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:36:52",628,620,0,8,0,349,341,0,8,0,338,7,700,355,4,144,163,24,1,2
26,MARAMUREŞ,GRĂDINIȚA,201,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 18:47:07",1225,1217,1,4,3,624,617,0,4,3,607,17,1400,776,3,294,269,28,10,3
26,MARAMUREŞ,"LICEUL TEORETIC „PETRU RAREȘ”",189,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 19:43:57",1814,1788,1,12,13,1070,1045,0,12,13,1040,30,1896,826,82,404,393,130,12,19
26,MARAMUREŞ,"ŞCOALA GENERALĂ",197,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:38:50",68,58,0,10,0,36,26,0,10,0,35,1,100,64,0,22,9,4,0,0
26,MARAMUREŞ,"ŞCOALA GENERALĂ",190,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:45:23",269,261,0,8,0,130,122,0,8,0,123,4,300,173,5,34,63,17,0,4
26,MARAMUREŞ,"ŞCOALA GENERALĂ",196,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:17:05",199,192,0,7,0,98,91,0,7,0,91,7,200,102,1,37,44,4,2,3
26,MARAMUREŞ,"ŞCOALA GENERALĂ",198,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:40",203,196,0,7,0,110,103,0,7,0,108,2,300,190,1,80,18,7,1,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",195,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:25",176,171,0,5,0,92,87,0,5,0,87,5,200,108,1,33,43,8,1,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",200,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:03:43",492,480,0,9,3,279,267,0,9,3,260,10,500,230,3,117,113,24,0,3
26,MARAMUREŞ,"ŞCOALA GENERALĂ",194,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:27",323,316,0,5,2,177,170,0,5,2,167,10,400,223,1,76,71,15,4,0
26,MARAMUREŞ,"ŞCOALA GENERALĂ",193,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:58",769,747,2,4,16,416,395,2,4,15,403,13,800,384,162,66,150,21,3,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",192,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:35",168,162,0,6,0,105,99,0,6,0,103,2,200,95,2,40,33,27,0,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",191,"ORAŞ TÂRGU LĂPUŞ",106817,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:15:43",428,391,31,6,0,266,260,0,6,0,250,9,400,141,3,138,72,30,3,4
