precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POIANĂ SEBASTIAN-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂIEREANU ANDREI-LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","AXINTE ALINA-IOANA-PARTIDUL ROMÂNIA MARE-voturi","ARHIRE MARIAN-EUSEBIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL AL BISERICII ORTODOXE",413,SÂNPETRU,41925,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:44",1557,1543,0,8,6,846,832,0,8,6,813,33,1700,854,147,475,23,168
8,BRAŞOV,"GĂDINIȚA CU PROGRAM NORMAL 8 ORE",414,SÂNPETRU,41925,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:36",1653,1624,13,12,4,941,923,2,12,4,922,19,1812,862,147,389,40,346
8,BRAŞOV,"GRADINITA CU PROGRAM NORMAL 4ORE SANPETRU",412,SÂNPETRU,41925,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:46",1580,1562,7,5,6,847,836,0,5,6,824,23,1700,853,120,396,27,281
8,BRAŞOV,"GRADINITA CU PROGRAM NORMAL 8 ORE SÎNPETRU",415,SÂNPETRU,41925,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:50",1809,1796,4,8,1,1073,1064,0,8,1,1051,14,1900,834,68,354,36,593
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ SÂNPETRU",410,SÂNPETRU,41925,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:06",1824,1808,6,10,0,893,883,0,10,0,880,13,1991,1098,136,248,33,463
8,BRAŞOV,"ȘCOALA GIMNAZIALĂ SÂNPETRU",411,SÂNPETRU,41925,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:15",1858,1828,18,12,0,791,778,1,12,0,768,22,2100,810,58,266,31,413
