precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PALAGHIE MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEACŞA TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","LANŢOŞ IOAN-VIRGIL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
28,MUREŞ,"CĂMIN CULTURAL DILEU VECHI",467,OGRA,118575,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:43",141,126,0,12,3,98,83,0,12,3,97,1,150,52,12,82,3
28,MUREŞ,"CAMIN CULTURAL VAIDEIU",470,OGRA,118575,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:49",104,98,0,4,2,74,68,0,4,2,70,4,110,36,10,58,2
28,MUREŞ,"CĂMINUL CULTURAL OGRA",466,OGRA,118575,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:40:00",1396,1367,1,8,20,798,770,0,8,20,740,58,1488,690,193,427,120
28,MUREŞ,"CASA PAROHIALĂ GIULUȘ",468,OGRA,118575,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:32:15",93,89,0,4,0,57,53,0,4,0,53,4,100,42,26,23,4
28,MUREŞ,"ŞCOALA PRIMARĂ LĂSCUD",469,OGRA,118575,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:41",202,198,0,4,0,117,113,0,4,0,105,12,220,103,27,60,18
