precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASIU STOIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOVÎRNACHE ALEXANDRU-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MOISE LUCIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
37,TIMIŞ,"PRIMARIA COMUNEI TOMNATIC , CORP A",585,TOMNATIC,159473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:54",1674,1660,3,3,8,677,666,0,3,8,637,40,1800,1123,548,67,22
37,TIMIŞ,"PRIMARIA COMUNEI TOMNATIC , CORP B",586,TOMNATIC,159473,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:35:09",1390,1373,3,1,13,611,597,0,1,13,589,22,1566,955,488,79,22
