precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PITICAŞ IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MARHAO CRISTINEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TIMIŞ DĂNUŢ-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM NORMAL SELIȘTAT",432,ŞOARŞ,41943,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:38",171,161,3,7,0,87,80,0,7,0,84,3,201,114,14,28,42
8,BRAŞOV,"PRIMĂRIA COMUNEI ȘOARȘ",428,ŞOARŞ,41943,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:25:39",507,492,0,12,3,301,286,0,12,3,280,21,500,199,65,47,168
8,BRAŞOV,"ȘCOALA GENERALĂ BĂRCUT",429,ŞOARŞ,41943,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:31:23",348,330,0,15,3,192,174,0,15,3,183,9,369,177,31,23,129
8,BRAŞOV,"ȘCOALA GENERALĂ FELMER",430,ŞOARŞ,41943,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:28:47",391,371,0,19,1,262,242,0,19,1,248,14,1876,687,62,43,143
8,BRAŞOV,"ȘCOALA GENERALĂ RODBAV",431,ŞOARŞ,41943,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:34",266,256,1,6,3,156,146,1,6,3,150,6,300,144,40,20,90
