precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDREI SERGIU-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","SANISLAI DANIEL-NICUŞOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LUPŞA GHEORGHE-MARIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","CIURDAŞ IOAN-MARIN-FORȚA DREPTEI-voturi","POR CARMEN-IOANA-voturi"
32,"SATU MARE","SCOALA CU CLASELE I-IV CRUCISOR",184,CRUCIŞOR,137504,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:07",477,440,0,12,25,361,324,0,12,25,351,10,510,149,144,6,96,3,102
32,"SATU MARE","SCOALA CU CLS. I-IV IEGHERISTE",185,CRUCIŞOR,137504,2,PART,PRCNCT,P,P_SV,"2024-06-11 19:38:57",416,382,0,10,24,321,287,0,10,24,310,11,450,129,85,4,105,6,110
32,"SATU MARE","SCOALA GIMNAZIALA POIANA CODRULUI",186,CRUCIŞOR,137504,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:55:22",1234,1175,0,18,41,835,776,0,18,41,804,31,1341,506,273,11,296,19,205
