precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL",352,RIPICENI,38731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:09:48",1132,1130,0,0,2,183,181,0,0,2,177,6,1300,1117,13,72,92
7,BOTOŞANI,"CĂMINUL CULTURAL",351,RIPICENI,38731,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:23:04",1252,1241,0,1,10,261,250,0,1,10,246,15,1400,1139,30,75,141
7,BOTOŞANI,"GRĂDINIŢA DE COPII",353,RIPICENI,38731,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:52:23",1756,1743,0,4,9,418,405,0,4,9,403,15,1915,1497,53,131,219
