precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi","SĂLĂGEAN GHEORGHE-VIOREL-voturi"
32,"SATU MARE","CLADIRE DISPENSAR TUR",111,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:01",1592,1585,0,6,1,475,468,0,6,1,459,16,1600,1125,321,20,59,29,8,2,5,10,5
32,"SATU MARE","CREŞA ” CASTELUL PITICILOR”",102,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 22:36:00",1190,1179,2,6,3,379,370,0,6,3,365,14,1201,822,225,19,43,27,2,5,11,13,20
32,"SATU MARE","CREŞA ”CASTELUL PITICILOR”",101,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:47",1198,1187,7,3,1,387,383,0,3,1,370,17,1200,796,179,8,77,35,2,8,1,13,47
32,"SATU MARE","LICEUL TEORETIC",109,"ORAŞ NEGREŞTI-OAŞ",136599,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:50:52",1263,1246,0,11,6,447,430,0,11,6,436,11,1400,953,232,16,59,42,3,16,0,37,31
32,"SATU MARE","LICEUL TEORETIC",108,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:40:13",1389,1363,1,4,21,547,522,0,4,21,529,18,1578,1031,262,21,85,68,1,2,3,61,26
32,"SATU MARE","LICEUL TEORETIC",110,"ORAŞ NEGREŞTI-OAŞ",136599,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 00:08:42",1286,1276,2,7,1,517,509,0,7,1,496,21,1400,883,314,12,45,51,1,6,0,57,10
32,"SATU MARE","SCOALA GENERALA NR.3",105,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:16:04",1412,1402,3,4,3,549,542,0,4,3,535,14,1600,1051,275,21,76,84,3,6,10,41,19
32,"SATU MARE","SCOALA GEN,NR.1",107,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:37:49",893,883,0,8,2,357,347,0,8,2,343,14,1200,843,190,3,59,49,2,3,0,29,8
32,"SATU MARE","SCOALA GEN.NR.1",106,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:27:27",999,989,1,7,2,386,377,0,7,2,369,17,1200,814,158,14,102,31,1,12,0,35,16
32,"SATU MARE","SCOALA GEN.NR,3",103,"ORAŞ NEGREŞTI-OAŞ",136599,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:26",1186,1177,3,6,0,422,416,0,6,0,409,13,1200,778,209,19,51,62,2,4,3,54,5
32,"SATU MARE","SCOALA GEN.NR.3",104,"ORAŞ NEGREŞTI-OAŞ",136599,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 23:02:18",1434,1425,2,4,3,455,448,0,4,3,436,19,1600,1145,276,19,52,35,1,5,1,25,22
