precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SLUSER MARICEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ARTENI SEBASTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”",315,FEREŞTI,167295,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:04",1844,1794,0,8,42,571,521,0,8,42,555,16,1704,1133,111,444
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”, FEREŞTI",314,FEREŞTI,167295,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:47",1565,1548,0,4,13,301,284,0,4,13,296,5,1600,1299,78,218
