precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNTEAN LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GAVRILOAIA DORINA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DON DIETHARD-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi","MITROI CRISTIAN-GIGEL-voturi"
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NADRAG",487,NĂDRAG,157898,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:10",1020,1000,1,5,14,545,526,0,5,14,533,12,1100,555,359,135,8,31
37,TIMIŞ,"LICEUL TEHNOLOGIC ”TRAIAN GROZĂVESCU” NĂDRAG",488,NĂDRAG,157898,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:12",1061,1047,1,8,5,570,557,0,8,5,548,22,1100,530,337,171,15,25
37,TIMIŞ,"ŞCOALA PRIMARA CRIVINA",489,NĂDRAG,157898,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:46:33",240,229,0,8,3,168,157,0,8,3,163,5,323,155,145,11,4,3
