precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","SCOALA CU CLASELE I-IV CRUCISOR",184,CRUCIŞOR,137504,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:06",477,440,0,12,25,361,324,0,12,25,351,10,510,149,17,67,161,16,5,75,1,9
32,"SATU MARE","SCOALA CU CLS. I-IV IEGHERISTE",185,CRUCIŞOR,137504,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:45",416,382,0,10,24,322,288,0,10,24,307,14,450,129,25,55,80,12,6,74,31,24
32,"SATU MARE","SCOALA GIMNAZIALA POIANA CODRULUI",186,CRUCIŞOR,137504,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:55:22",1234,1175,0,18,41,835,776,0,18,41,776,59,1326,491,46,104,269,54,42,226,12,23
