precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IFTIMIA DAVID-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TOMA CORNEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:32",909,890,4,3,12,459,444,0,3,12,443,16,950,491,119,324
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ „MARIA BRINDEA”",514,PESAC,159507,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:15:33",952,938,3,3,8,461,450,0,3,8,437,24,1069,608,123,314
