precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA CROAȚILOR DIN ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"AZILUL DE BĂTRÂNI-CENTRU DE ZI",248,FOROTIC,52856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:01",563,542,0,13,8,377,356,0,13,8,355,22,610,233,23,212,96,5,1,3,15
11,CARAŞ-SEVERIN,"BIBLIOTECA VALERIU LEU",255,GORUIA,52954,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:54",339,229,1,99,10,339,229,1,99,10,172,15,349,82,3,63,55,11,2,14,24
11,CARAŞ-SEVERIN,"CADIREA PRIMARIEI(FOSTUL SEDIU AL PRIMARIEI DIN SOCOLARI)",201,"CICLOVA ROMÂNĂ",51948,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:05:44",130,118,0,11,1,75,63,0,11,1,74,1,130,55,11,47,9,0,0,4,3
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:37",1267,1242,3,5,17,670,648,0,5,17,611,59,1367,697,75,179,287,6,10,21,33
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:23",168,162,0,6,0,106,100,0,6,0,103,3,179,73,4,38,51,0,1,1,8
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",140,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:37",463,450,0,12,1,207,194,0,12,1,195,12,496,289,53,46,60,6,1,16,13
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL BORLOVENII VECHI",301,PRIGOR,53577,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:42",348,335,0,7,6,225,212,0,7,6,214,11,369,144,22,51,124,0,0,3,14
11,CARAŞ-SEVERIN,"CAMIN CULTURAL SICHEVITA",318,SICHEVIŢA,53853,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:47:23",1235,1161,2,14,58,879,805,2,14,58,828,13,1272,44,82,335,280,0,0,62,69
11,CARAŞ-SEVERIN,"CAMININUL CULTURAL-STANCILOVA DE JOS",332,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:28:21",89,78,0,8,3,76,65,0,8,3,74,2,84,8,7,27,27,0,0,8,5
11,CARAŞ-SEVERIN,"CAMINNUL CULTURAL STANCILOVA DE SUS",333,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:45:12",124,108,0,10,6,105,89,0,10,6,100,4,123,19,3,47,31,2,0,10,7
