precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASIU ADRIAN-VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","LEUCIAN SORIN-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂD OVIDIU-SERGIU-UNIUNEA SALVAȚI ROMÂNIA-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL DOBROȚ",486,TOMEŞTI,91447,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:14",341,311,2,20,8,293,263,2,20,8,290,3,350,57,169,116,5
22,HUNEDOARA,"CĂMINUL CULTURAL TOMEŞTI",485,TOMEŞTI,91447,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:08",217,201,1,10,5,166,151,0,10,5,163,3,230,64,115,48,0
22,HUNEDOARA,"ȘCOALA GENERALĂ CLS.1-4 ȘTEIA",487,TOMEŞTI,91447,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:19",277,258,0,8,11,248,229,0,8,11,246,2,346,98,120,115,11
