precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUCUR ION-PARTIDUL SOCIAL DEMOCRAT-voturi","SAVANCEA MĂDĂLIN-GEORGIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MUSTĂŢEA VALERIU-PARTIDUL NAȚIONAL LIBERAL-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN TEODORESCU” ŞOLDANU",210,ŞOLDANU,105384,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:56:05",1716,1659,0,24,33,1181,1124,0,24,33,1123,58,1861,680,666,40,417
12,CĂLĂRAŞI,"ŞCOALA PRIMARĂ NR.1 NEGOEŞTI",211,ŞOLDANU,105384,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:59:01",788,756,0,14,18,558,526,0,14,18,534,24,847,289,425,33,76
