precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","BLOCUL SUVERANIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","LUNGU DANIELA-voturi","SFERCOCI CRISTIAN-PETRU-voturi","NISTOR BOGDAN-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:18:09",784,776,1,6,1,208,201,0,6,1,189,19,1000,792,5,62,21,28,2,2,7,1,27,22,1,3,1,7
37,TIMIŞ,"CINEMATOGRAFUL ”BELA LUGOSI”",232,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:43:01",1010,996,6,8,0,381,372,1,8,0,368,13,1100,719,21,99,69,43,4,2,16,0,61,8,15,21,5,4
37,TIMIŞ,"COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",208,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:40",1145,1136,0,8,1,467,458,0,8,1,452,15,1160,693,8,105,102,53,2,3,18,1,108,10,11,24,7,0
37,TIMIŞ,"COLEGIUL TEHNIC ”VALERIU BRANIŞTE”",227,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:33:15",1141,1118,0,5,18,525,504,0,5,16,510,15,1200,675,37,150,101,49,1,1,8,8,104,7,12,17,9,6
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.13",226,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:20",1558,1546,0,10,2,670,658,0,10,2,658,12,1600,930,38,196,139,62,7,5,13,6,114,21,27,25,2,3
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",219,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:33:20",1035,1027,0,8,0,475,467,0,8,0,457,18,1100,625,15,136,88,55,5,2,11,2,79,18,10,25,8,3
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 TĂPIA",239,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:51:31",276,269,0,7,0,126,119,0,7,0,120,6,300,174,3,41,19,16,0,0,10,0,16,2,2,10,0,1
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2",228,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:37",1396,1386,3,7,0,524,517,0,7,0,506,18,1500,976,28,139,97,55,7,3,22,1,94,12,18,21,7,2
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",211,"MUNICIPIUL LUGOJ",155350,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:41:50",1354,1339,5,10,0,625,615,0,10,0,611,14,1400,775,13,167,159,79,3,1,18,1,79,42,13,22,11,3
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.3",210,"MUNICIPIUL LUGOJ",155350,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:26",1631,1622,0,8,1,657,648,0,8,1,615,42,1700,1043,18,174,136,94,11,4,17,4,81,21,18,28,4,5
