precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"AUTOGARA CĂLĂTORI",74,"ORAŞ NĂSĂUD",32544,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:41:38",1677,1658,0,17,2,752,733,0,17,2,720,32,1850,1098,3,24,7,3,1,52,19,251,360
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA COMUNALĂ SATU NOU",105,CETATE,32884,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:06:15",618,602,1,7,8,439,424,0,7,8,397,42,656,217,1,26,3,6,1,52,25,142,141
6,BISTRIŢA-NĂSĂUD,"BIBLIOTECA ORĂȘENEASCĂ BECLEAN „LIVIU REBREANU”",59,"ORAŞ BECLEAN",32483,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:04:21",1596,1525,3,42,26,902,834,0,42,26,858,19,1700,823,0,98,0,0,0,80,84,316,280
6,BISTRIŢA-NĂSĂUD,"CABANA STARSILVA FIAD",295,TELCIU,35054,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:31:58",158,149,0,9,0,90,81,0,9,0,79,11,200,110,0,0,1,0,0,6,7,37,28
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL",242,"SÂNMIHAIU DE CÂMPIE",34477,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:34:05",176,146,0,25,5,128,98,0,25,5,117,11,150,22,0,6,0,0,3,17,2,81,8
6,BISTRIŢA-NĂSĂUD,"CAMIN CULTURAL ”GRIGORE PLETOSU”",259,ŞIEU-MĂGHERUŞ,34690,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:23:53",546,538,0,3,5,287,279,0,3,5,267,20,600,313,1,12,4,1,0,39,13,93,104
6,BISTRIŢA-NĂSĂUD,"CĂMIN CULTURAL JOSENII BÂRGĂULUI",148,"JOSENII BÂRGĂULUI",33382,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:23:06",827,815,2,6,4,461,450,1,6,4,440,21,915,454,5,5,8,5,0,109,40,192,76
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",212,NUŞENI,34075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:41:13",304,273,0,9,22,179,148,0,9,22,173,6,316,137,1,124,0,1,0,3,6,9,29
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",276,ŞINTEREAG,34903,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:36:58",250,239,1,7,3,147,137,0,7,3,134,13,250,103,0,1,1,1,1,14,2,76,38
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL",244,"SILIVAŞU DE CÂMPIE",34422,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:48:21",741,696,0,19,26,553,508,0,19,26,462,91,783,230,14,0,1,13,3,114,24,223,70
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL AGRIŞU DE SUS",264,ŞIEU-ODORHEI,34770,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:15:08",125,121,0,4,0,89,85,0,4,0,81,8,150,61,0,2,2,9,0,23,1,28,16
