precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DONŢU DENIS-RAUL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RÎSTEIU EMIL-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BEDEA IULIUS-GELU-PARTIDUL SOCIAL DEMOCRAT-voturi","MOCAN DORIN-IOAN-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL SÂNTANDREI",245,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:08",915,911,1,2,1,488,485,0,2,1,468,20,1000,512,46,212,140,70
22,HUNEDOARA,"CASA SATULUI UROI",247,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:43",528,510,10,8,0,297,289,0,8,0,285,12,565,268,22,135,98,30
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",241,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:01:56",1383,1365,0,16,2,699,681,0,16,2,678,21,1510,811,47,371,173,87
22,HUNEDOARA,"CLĂDIRE MULTIFUNCȚIONALĂ DIN CADRUL PARCULUI DE AFACERI SIMERIA",242,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:43:01",997,983,3,9,2,534,522,1,9,2,523,11,1129,595,62,251,157,53
22,HUNEDOARA,"COLEGIUL TEHNIC DE TRANSPORT FEROVIAR ”ANGHEL SALIGNY” SIMERIA",244,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:18",1228,1212,5,10,1,591,580,0,10,1,566,25,1335,744,66,285,164,51
22,HUNEDOARA,"GRADINITA CU PROGRAM NORMAL NR.1 SIMERIA",240,"ORAŞ SIMERIA",87665,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:49:06",1455,1444,0,10,1,791,780,0,10,1,748,42,1600,809,42,412,206,88
22,HUNEDOARA,"OCOLUL SILVIC SIMERIA",243,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:20",1397,1375,0,19,3,706,684,0,19,3,678,28,1600,894,52,319,198,109
22,HUNEDOARA,"SCOALA GENERALA SIMERIA VECHE",246,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:36",345,331,2,11,1,197,185,0,11,1,192,5,365,168,16,106,49,21
22,HUNEDOARA,"SCOALA GIMNAZIALA ”SIGISMUND TODUTA ” SIMERIA",239,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:00:39",1438,1422,2,10,4,775,761,0,10,4,754,21,1580,805,55,353,205,141
22,HUNEDOARA,"SCOALA GIMNAZIALA ”SIGISMUND TODUTA ” SIMERIA",238,"ORAŞ SIMERIA",87665,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:18",1413,1393,2,9,9,787,769,0,9,9,771,16,1600,813,70,387,231,83
