precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GOLUBOV ILIE-PARTIDUL MIȘCAREA POPULARĂ-voturi","BOŞOSCHI VASILE-ADRIAN-FORȚA DREPTEI-voturi","ANTONIE EMILIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MIHAI DORINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BOŢ DUMITRU-DANIEL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","CHIRA COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALA REMETEA MARE",529,"REMETEA MARE",158396,2,PART,PRCNCT,P,P_SV,"2024-06-18 09:31:30",1684,1632,11,35,6,1073,1032,0,35,6,1004,69,1751,678,271,231,7,35,2,458
37,TIMIŞ,"ŞCOALA PRIMARA IANOVA",530,"REMETEA MARE",158396,2,PART,PRCNCT,P,P_SV,"2024-06-18 09:58:37",993,936,29,25,3,672,643,1,25,3,625,47,1100,428,99,25,18,47,1,435
