precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂTRÂNUŢ PETRU-CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","FARCU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CODREAN SIMION-ADRIAN-voturi"
2,ARAD,"PRIMĂRIA COMUNEI GRĂNICERI",272,GRĂNICERI,10916,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:51",1068,1040,0,9,19,679,651,0,9,19,655,24,1190,511,412,36,207
2,ARAD,"ŞCOALA GIMNAZIALĂ ŞICLĂU",273,GRĂNICERI,10916,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:45:46",960,934,0,10,16,479,453,0,10,16,452,27,1046,567,127,31,294
